"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","管理员登录限制模块","","0","0","3","0","0"
"","文件指纹","","0","0","3","0","0"
"","关键字/正则模块","","1","0","4","0","0"
"","系统邮箱配置模块","","0","0","1","0","0"
"","自定义用户组管理模块","","0","0","3","0","0"
"","用户同步模块","","0","0","7","0","0"
"","文件MD5","","0","0","3","0","0"
"","文件属性规则","","0","2","1","0","0"
"","日志备份配置模块","","0","0","2","0","0"
"","用户推送模块","","0","0","1","0","0"
"","系统首页配置","","0","2","1","0","0"
"","职位管理模块","","0","0","4","0","0"
"","用户及机构管理模块","","0","1","6","0","0"
"","管理员配置模块","","0","0","3","0","0"
"","系统参数管理模块","","0","0","2","0","0"
"","严重性等级","","0","0","1","0","0"
"","登录模块","","0","0","1","0","0"
"","告警任务模块","","0","0","4","0","0"
"","数据字典","","0","0","3","0","0"
"","智能报告管理","","0","3","1","0","0"
"","Syslog规则配置模块","","0","0","3","0","0"
"","报告模板管理","","0","1","0","0","0"
